구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),위치업데이트,
kor,1100000000,서울특별시,,,60,127,126,58,48.03,37,33,48.85,126.980008333333,37.5635694444444,,
kor,1111000000,서울특별시,종로구,,60,127,126,58,53.91,37,34,13.36,126.981641666666,37.5703777777777,,
kor,1114000000,서울특별시,중구,,60,127,126,59,58.71,37,33,39.61,126.999641666666,37.5610027777777,,
kor,1117000000,서울특별시,용산구,,60,126,126,58,3.08,37,32,9.94,126.967522222222,37.5360944444444,,
kor,1120000000,서울특별시,성동구,,61,127,127,2,20.4,37,33,38.2,127.039,37.5606111111111,,
kor,1121500000,서울특별시,광진구,,62,126,127,5,4.32,37,32,8.66,127.084533333333,37.5357388888888,,
kor,1123000000,서울특별시,동대문구,,61,127,127,2,31.71,37,34,17.85,127.042141666666,37.571625,,
kor,1126000000,서울특별시,중랑구,,62,128,127,5,41.2,37,36,13.7,127.094777777777,37.6038055555555,,
kor,1129000000,서울특별시,성북구,,61,127,127,1,13.2,37,35,10.98,127.020333333333,37.5863833333333,,
kor,1130500000,서울특별시,강북구,,61,128,127,1,39.79,37,38,13.04,127.027719444444,37.6369555555555,,
kor,1132000000,서울특별시,도봉구,,61,129,127,2,58.28,37,39,57.0,127.049522222222,37.6658333333333,,
kor,1135000000,서울특별시,노원구,,61,129,127,3,30.2,37,39,5.26,127.058388888888,37.6514611111111,,
kor,1138000000,서울특별시,은평구,,59,127,126,55,52.47,37,35,59.89,126.931241666666,37.5999694444444,,
kor,1141000000,서울특별시,서대문구,,59,127,126,56,20.03,37,34,34.92,126.938897222222,37.5763666666666,,
kor,1144000000,서울특별시,마포구,,59,127,126,54,37.91,37,33,38.54,126.910530555555,37.5607055555555,,
kor,1147000000,서울특별시,양천구,,58,126,126,52,7.35,37,30,51.23,126.868708333333,37.5142305555555,,
kor,1150000000,서울특별시,강서구,,58,126,126,51,6.03,37,32,53.36,126.851675,37.5481555555555,,
kor,1153000000,서울특별시,구로구,,58,125,126,53,22.55,37,29,33.54,126.889597222222,37.49265,,
kor,1154500000,서울특별시,금천구,,59,124,126,54,15.11,37,26,56.79,126.904197222222,37.4491083333333,,
kor,1156000000,서울특별시,영등포구,,58,126,126,53,54.03,37,31,25.0,126.898341666666,37.5236111111111,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,1159000000,서울특별시,동작구,,59,125,126,56,29.67,37,30,34.76,126.941575,37.5096555555555,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,1162000000,서울특별시,관악구,,59,125,126,57,13.84,37,28,31.39,126.953844444444,37.4753861111111,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,1165000000,서울특별시,서초구,,61,125,127,2,5.32,37,28,50.83,127.034811111111,37.4807861111111,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,1168000000,서울특별시,강남구,,61,126,127,2,58.4,37,30,52.47,127.049555555555,37.514575,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,1171000000,서울특별시,송파구,,62,126,127,6,28.55,37,30,42.32,127.107930555555,37.5117555555555,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,1174000000,서울특별시,강동구,,62,126,127,7,33.11,37,31,38.52,127.125863888888,37.5273666666666,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,2600000000,부산광역시,,,98,76,129,4,37.03,35,10,37.27,129.076952777777,35.1770194444444,,
kor,2611000000,부산광역시,중구,,97,74,129,2,4.23,35,6,11.58,129.034508333333,35.1032166666666,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,2614000000,부산광역시,서구,,97,74,129,1,34.96,35,5,41.41,129.026377777777,35.0948361111111,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,2617000000,부산광역시,동구,,98,75,129,3,33.03,35,8,9.22,129.059175,35.1358944444444,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
kor,2620000000,부산광역시,영도구,,98,74,129,4,12.67,35,5,17.22,129.070186111111,35.0881166666666,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
